what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1425583190488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1425583190659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.forwardHistory",1425583192711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583198930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583199680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583199696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583204111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583206049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583250842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583262092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583262106
opened,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583262158
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1425583262158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.newWindow",1425583262180
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1425583264350
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1425583264373
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1425583264386
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1425583264390
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583264397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583264422
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1425583272712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1425583272712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583278765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583357778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1425583357785
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1425583359474
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425583376234
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425583378980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583378983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583379768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583382757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425583385307
