what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963009481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963024840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963024877
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1426963027786
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963033415
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963034114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963040060
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963040061
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1426963042751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963047713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963049407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963055465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963066758
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963066986
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963067023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426963079386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963093795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963095395
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963100327
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963108652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963113305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963117763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963125549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963134762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963174360
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963177099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1426963189992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963216198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963218067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1426963219488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963229562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963230707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1426963261724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1426963270666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1426963278100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963293112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963294889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963303931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963379693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963386223
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963386223
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1426963387280
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963387280
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1426963397345
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1426963401807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963407969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963413419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963421036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963440787
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963440959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426963441015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963441892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963443163
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963453092
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963478103
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963557494
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963577206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426963597593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963599358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426963614628
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963617780
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963618259
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1426963619518
