what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092081985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092087749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1427092093941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092099496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092100821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092108080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092136118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092154174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092191853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092192931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092197215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092208076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092211550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427092220999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092226333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092227083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092227739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092251600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427092257284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092259222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092265310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092273384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092285425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092304830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092305924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092306571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092314607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427092318128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427092319429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092321902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427092328489
