what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.method",1427053923076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427053926476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427053928971
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.method",1427053928971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427053991787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054026794
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.method",1427054026810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054048527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054707487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054707940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054710088
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427054714086
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427054717043
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427054717168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054722817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054732486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054738154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054743931
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427054744056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427054744071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054745370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054916537
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427054938947
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1427054939714
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1427054941714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054974393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427054977602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056475108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056478682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056490564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056492520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056494815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056496511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056569950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056572805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427056576198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056581764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056584253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427056585909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056600671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056603111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427056626406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056632245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056636014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056655747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056656974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056878247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056879098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056886174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056887198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056899162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056912043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056913159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056914168
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427056919391
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427056919391
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427056923846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056928294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056937805
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427056941890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427056941914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427056986854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057098240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057437406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057442005
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427057484655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057489159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057490927
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427057490974
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057491146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057497126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057525562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057530111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057542246
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057542371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057542403
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427057562343
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057566402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057566433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427057599921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057602336
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427057602336
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1427057634592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427057663498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057664842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057667372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057668341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057669027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057680898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057683056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057696352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057697066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057697722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057701223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057716111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057717064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057723321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057726566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057746296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057746905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057747440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057751091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427057760455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057761955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057765254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057768210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057813134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057822880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057825084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057828041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057829717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057844978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057845165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057847815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057854114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057867123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057870655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057876557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057879902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057880965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057883518
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427057888232
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1427057888451
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427057894591
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1427057895544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057904723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057917148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057923611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427057925274
