what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000671211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000678715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000691396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000699715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000705595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000728951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000733115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000735550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000757004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000766014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000770529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000779766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000823184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000826495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000830806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000832104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427000881371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427000883535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427000884773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427000889002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000903128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000904518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000905193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000907573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427000914352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427000916528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000924009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000924757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427000935442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001053750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001059296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001063801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427001071108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427001071798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001120976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001123330
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1427001145853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001292015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001296281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001329818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001344928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427001358565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001366809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001366926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001370285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001370423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001372262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001372441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001418143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001419360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427001421664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427001657419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427004727291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427004733981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427005836608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427005836717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427005838592
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427005838780
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1427005839998
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1427005840061
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1427005840061
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1427005840155
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1427005840170
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1427005840217
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1427005840217
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1427005840217
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1427005840217
activated,perspective,,,"Custome_for_Java",1427038508857
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1427038508859
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1427038508860
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1427038508875
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1427038508876
