what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427085742706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427085748523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427085749731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427085783190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427085788993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427085795751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086187464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086222542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086224013
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427086224048
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086229334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086293689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086309206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427086311739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086314683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086330158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086335797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086339145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427086395581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086585325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086732730
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427086738888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086740427
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427086752256
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086752256
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427086755564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086756341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086765612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086769630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086782327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086787448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086792525
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086792713
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427086792775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427086844845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427086846189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087030452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087034577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087036509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087311048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087312982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1427087400512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427087402173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1427087402837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087452543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087453416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427087478314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427087507255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087508327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087509545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427087515460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087561625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087564750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427087570554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087580655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087581514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427087595515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087601702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087616298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427087642780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427087693277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087694297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087698307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087712060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087713072
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1427087714793
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427087714959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087715814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087716989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087726448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087735001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087771891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427087999731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088003703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088004564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088006054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088016599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088019299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088021450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427088025221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088034814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088037358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088041994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088044152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088045030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088054979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088104270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088111957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427088178935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088180094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088183723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088185454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088188837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088196337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088223490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1427088232849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1427088258609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088628458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088643558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088652002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088653246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088653637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088678883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088682202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088714732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427088718251
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1427088721332
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427088721503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088729020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088734492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427088952659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427089369515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427089376696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427089379695
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427089380051
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427089380109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427089381298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427089382310
